x	y	z
-0.501827  -0.059773  -0.911966
-0.495799  -0.059703  -0.910905
-0.503096  -0.059924  -0.914272
-0.502534  -0.059857  -0.913251
-0.506255  -0.059652  -0.910128
-0.507512  -0.057933  -0.883900
-0.508289  -0.056839  -0.867201
-0.491022  -0.054354  -0.829286
-0.473271  -0.057601  -0.805404
-0.449869  -0.054753  -0.765578
-0.423646  -0.056590  -0.730236
-0.388535  -0.054718  -0.706080
-0.347777  -0.057946  -0.694211
-0.284851  -0.063543  -0.665914
-0.437066  -0.127687  -1.259254
-0.851352  -0.302022  -2.978543
-0.144868  -0.055318  -0.662717
-0.142870  -0.057307  -0.739497
-0.145103  -0.062041  -0.800583
-0.123711  -0.068900  -0.825443
-0.099904  -0.078376  -0.876228
-0.097525  -0.091531  -0.902677
-0.093903  -0.098789  -0.920039
-0.084173  -0.090637  -0.949841
-0.074254  -0.092421  -0.968541
-0.048634  -0.096050  -1.073816
-0.035979  -0.096530  -1.079182
-0.023358  -0.097692  -1.092178
-0.003886  -0.093777  -1.123467
0.041011  -0.108236  -1.210061
0.055738  -0.108752  -1.215825
0.085058  -0.116369  -1.219507
0.109586  -0.124614  -1.228948
0.117128  -0.124825  -1.231029
0.147028  -0.139989  -1.235001
0.168913  -0.140091  -1.219824
0.161486  -0.135072  -1.117946
0.161707  -0.126274  -0.995869
0.178236  -0.148718  -0.949197
0.177136  -0.150071  -0.914240
0.182406  -0.150856  -0.886741
0.247225  -0.179236  -0.845627
0.268018  -0.175978  -0.801993
0.273403  -0.181164  -0.803736
0.279423  -0.181174  -0.803780
0.302918  -0.195248  -0.802399
0.312387  -0.199966  -0.802087
0.332855  -0.204818  -0.802318
0.343330  -0.205348  -0.804394
0.345113  -0.206414  -0.808570
0.351354  -0.207245  -0.811825
0.357673  -0.212971  -0.815170
0.355374  -0.209617  -0.821115
0.363037  -0.206276  -0.827396
0.366074  -0.203015  -0.834317
0.368666  -0.194410  -0.840226
0.371285  -0.195791  -0.846193
0.374073  -0.192166  -0.852547
0.376671  -0.193501  -0.858468
0.378301  -0.194339  -0.862184
