x	y	z
-0.509486  0.045780  -1.017618
-0.509994  0.045826  -1.018633
-0.501522  0.045609  -1.013805
-0.510708  0.045890  -1.020058
-0.509917  0.045819  -1.018478
-0.499517  0.045426  -1.009753
-0.498497  0.045334  -1.007690
-0.452972  0.042876  -0.953059
-0.429710  0.035723  -0.915621
-0.402251  0.029446  -0.891135
-0.387660  0.029149  -0.882153
-0.332583  0.027329  -0.827076
-0.325873  0.027181  -0.822609
-0.281611  0.020898  -0.771981
-0.249848  0.020560  -0.759518
-0.221336  0.020133  -0.743738
-0.170291  0.002291  -0.720405
-0.126869  -0.007185  -0.700409
-0.103179  -0.011181  -0.688870
-0.077953  -0.015190  -0.684125
-0.056948  -0.027664  -0.689524
-0.038655  -0.042549  -0.733116
-0.011493  -0.053345  -0.746328
0.016842  -0.068656  -0.768017
0.035502  -0.069264  -0.774817
0.069427  -0.074293  -0.779026
0.100670  -0.081581  -0.760230
0.109881  -0.086224  -0.761130
0.114801  -0.087646  -0.763617
0.138851  -0.092277  -0.764203
0.156827  -0.096668  -0.762837
0.184126  -0.114163  -0.757995
0.238149  -0.124625  -0.739483
0.255166  -0.119388  -0.734437
0.271605  -0.123272  -0.731457
0.276433  -0.124571  -0.732674
0.276761  -0.120338  -0.733543
