x	y	z
-0.088739  -0.189381  -0.777628
-0.093084  -0.193396  -0.775078
-0.088076  -0.192582  -0.771817
-0.088088  -0.192609  -0.771923
-0.077957  -0.190418  -0.763141
-0.037949  -0.179313  -0.718638
-0.011395  -0.175498  -0.738768
0.020182  -0.175913  -0.722325
0.032652  -0.173306  -0.711620
0.048801  -0.178610  -0.699064
0.050959  -0.174051  -0.714681
0.063553  -0.177681  -0.712096
0.072899  -0.179722  -0.720277
0.095786  -0.180229  -0.722308
0.103911  -0.179338  -0.718737
0.108666  -0.175778  -0.721771
0.131038  -0.184000  -0.720159
0.148587  -0.180081  -0.721713
0.166167  -0.171771  -0.723076
0.163601  -0.164928  -0.750999
0.200864  -0.179541  -0.719550
0.206634  -0.162561  -0.740220
0.218267  -0.163816  -0.745933
0.225877  -0.167305  -0.741621
0.247674  -0.176391  -0.724289
0.263993  -0.184351  -0.721531
0.269374  -0.180750  -0.724395
0.273187  -0.174520  -0.734648
0.296364  -0.177212  -0.745980
0.301926  -0.173382  -0.748709
0.335848  -0.188260  -0.754493
0.365146  -0.195778  -0.766257
0.379703  -0.196353  -0.786928
0.387522  -0.200396  -0.803133
0.398062  -0.205681  -0.805017
0.412532  -0.209897  -0.802724
0.408623  -0.210356  -0.804482
0.407861  -0.205767  -0.805351
0.408495  -0.206087  -0.806604
