x	y	z
0.033638  -0.214716  -0.733115
0.029278  -0.214902  -0.733749
0.029354  -0.211058  -0.735648
0.033616  -0.214577  -0.732640
0.033725  -0.210878  -0.735022
0.046455  -0.217522  -0.727831
0.046704  -0.209932  -0.731725
0.056675  -0.206004  -0.733320
0.047512  -0.199095  -0.744386
0.066068  -0.197996  -0.740276
0.066693  -0.199869  -0.747282
0.075125  -0.202969  -0.742273
0.075594  -0.205352  -0.746902
0.097326  -0.210562  -0.733918
0.098355  -0.203916  -0.741677
0.102837  -0.204007  -0.742008
0.103374  -0.199496  -0.745885
0.103939  -0.196101  -0.749963
0.108407  -0.196068  -0.749837
0.113057  -0.196355  -0.750935
0.117748  -0.196689  -0.752211
0.122344  -0.196845  -0.752807
0.130921  -0.196202  -0.750352
0.136117  -0.200081  -0.748073
0.140445  -0.199873  -0.747297
0.144993  -0.199981  -0.747699
0.145515  -0.196213  -0.750392
0.162283  -0.199245  -0.744949
0.162825  -0.195440  -0.747437
0.175590  -0.194724  -0.744696
0.177098  -0.199622  -0.746356
0.181813  -0.199898  -0.747390
0.197555  -0.207707  -0.739383
0.208992  -0.210288  -0.732962
0.206345  -0.202125  -0.739185
0.215178  -0.206581  -0.735375
0.214905  -0.202964  -0.738216
0.223394  -0.210433  -0.733469
0.235206  -0.204871  -0.729286
0.240066  -0.200925  -0.730801
0.240753  -0.200404  -0.732893
0.245368  -0.197303  -0.733584
0.242039  -0.197068  -0.736807
0.246333  -0.196978  -0.736470
0.246072  -0.196769  -0.735691
0.241718  -0.196806  -0.735829
