3.460355 ; -0.322006 ; 0.355360
3.345103 ; -0.323784 ; 0.365492
3.231628 ; -0.327554 ; 0.375591
3.120138 ; -0.333067 ; 0.385667
3.010805 ; -0.340077 ; 0.395731
2.903778 ; -0.348348 ; 0.405793
2.799176 ; -0.357652 ; 0.415866
2.697095 ; -0.367769 ; 0.425959
2.597609 ; -0.378491 ; 0.436085
2.500773 ; -0.389623 ; 0.446254
2.406623 ; -0.400985 ; 0.456474
2.315181 ; -0.412410 ; 0.466754
2.226455 ; -0.423750 ; 0.477099
2.140440 ; -0.434870 ; 0.487515
2.057124 ; -0.445657 ; 0.498004
1.976485 ; -0.456012 ; 0.508568
1.898494 ; -0.465856 ; 0.519203
1.823116 ; -0.475124 ; 0.529907
1.750312 ; -0.483771 ; 0.540675
1.680038 ; -0.491765 ; 0.551498
1.612248 ; -0.499089 ; 0.562369
1.546891 ; -0.505738 ; 0.573277
1.483916 ; -0.511722 ; 0.584210
1.423270 ; -0.517058 ; 0.595155
1.364896 ; -0.521774 ; 0.606099
1.308738 ; -0.525904 ; 0.617027
1.254738 ; -0.529490 ; 0.627925
1.202837 ; -0.532578 ; 0.638779
1.152975 ; -0.535218 ; 0.649574
1.105093 ; -0.537462 ; 0.660295
1.059129 ; -0.539366 ; 0.670929
1.015022 ; -0.540983 ; 0.681461
0.972710 ; -0.542370 ; 0.691880
0.932133 ; -0.543581 ; 0.702172
0.893228 ; -0.544668 ; 0.712326
0.855935 ; -0.545684 ; 0.722332
0.820191 ; -0.546677 ; 0.732181
0.785937 ; -0.547693 ; 0.741863
0.753113 ; -0.548777 ; 0.751370
0.721658 ; -0.549970 ; 0.760696
0.691515 ; -0.551308 ; 0.769835
0.662625 ; -0.552827 ; 0.778782
0.634931 ; -0.554557 ; 0.787532
0.608379 ; -0.556526 ; 0.796083
0.582913 ; -0.558760 ; 0.804431
0.558481 ; -0.561278 ; 0.812577
0.535029 ; -0.564100 ; 0.820517
0.512509 ; -0.567241 ; 0.828254
0.490870 ; -0.570713 ; 0.835786
0.470066 ; -0.574527 ; 0.843115
0.450050 ; -0.578689 ; 0.850243
0.430778 ; -0.583204 ; 0.857172
0.412207 ; -0.588074 ; 0.863905
0.394297 ; -0.593300 ; 0.870444
0.377007 ; -0.598880 ; 0.876794
0.360300 ; -0.604812 ; 0.882959
0.344140 ; -0.611089 ; 0.888941
0.328492 ; -0.617705 ; 0.894746
0.313323 ; -0.624652 ; 0.900379
0.298603 ; -0.631922 ; 0.905844
0.284300 ; -0.639504 ; 0.911146
0.270388 ; -0.647388 ; 0.916291
0.256840 ; -0.655561 ; 0.921283
0.243630 ; -0.664011 ; 0.926127
0.230734 ; -0.672725 ; 0.930830
0.218132 ; -0.681690 ; 0.935395
0.205801 ; -0.690892 ; 0.939829
0.193722 ; -0.700316 ; 0.944137
0.181877 ; -0.709950 ; 0.948323
0.170854 ; -0.717596 ; 0.952349
0.160625 ; -0.723416 ; 0.956211
0.151163 ; -0.727563 ; 0.959906
0.142437 ; -0.730184 ; 0.963431
0.134418 ; -0.731418 ; 0.966787
0.127076 ; -0.731397 ; 0.969973
0.120378 ; -0.730248 ; 0.972991
0.114295 ; -0.728088 ; 0.975842
0.108796 ; -0.725030 ; 0.978529
0.103848 ; -0.721179 ; 0.981054
0.099423 ; -0.716634 ; 0.983422
0.095489 ; -0.711485 ; 0.985636
0.092018 ; -0.705821 ; 0.987700
0.088981 ; -0.699719 ; 0.989619
0.086348 ; -0.693256 ; 0.991398
0.084094 ; -0.686499 ; 0.993043
0.082191 ; -0.679511 ; 0.994557
0.080614 ; -0.672350 ; 0.995948
0.079338 ; -0.665070 ; 0.997219
0.078339 ; -0.657719 ; 0.998378
0.077595 ; -0.650340 ; 0.999429
0.077084 ; -0.642973 ; 1.000377
0.076784 ; -0.635655 ; 1.001229
0.076678 ; -0.628416 ; 1.001989
0.076745 ; -0.621285 ; 1.002664
0.076968 ; -0.614287 ; 1.003257
0.077330 ; -0.607444 ; 1.003775
0.077816 ; -0.600774 ; 1.004223
0.078411 ; -0.594293 ; 1.004604
0.079101 ; -0.588014 ; 1.004924
0.079872 ; -0.581950 ; 1.005188
0.080714 ; -0.576108 ; 1.005399
0.081614 ; -0.570497 ; 1.005563
0.082563 ; -0.565120 ; 1.005682
0.083550 ; -0.559981 ; 1.005760
0.084568 ; -0.555082 ; 1.005803
0.085607 ; -0.550424 ; 1.005811
0.086661 ; -0.546006 ; 1.005790
0.087722 ; -0.541826 ; 1.005742
0.088785 ; -0.537881 ; 1.005671
