x	y	z
-0.525721  0.401988  -1.607160
-0.508841  0.393921  -1.611465
-0.516158  0.392531  -1.605779
-0.530700  0.389827  -1.594718
-0.524155  0.355328  -1.602372
-0.522644  0.336171  -1.597753
-0.527343  0.333410  -1.584630
-0.517320  0.321529  -1.581478
-0.518149  0.295079  -1.584010
-0.530350  0.265226  -1.566947
-0.527974  0.255187  -1.559928
-0.524433  0.244683  -1.549464
-0.521968  0.226031  -1.542183
-0.518864  0.190917  -1.559151
-0.520309  0.179516  -1.537280
-0.512126  0.170973  -1.538904
-0.514416  0.160234  -1.519871
-0.799200  0.177073  -2.531012
-0.500625  0.105246  -1.504343
-0.590187  0.124637  -1.938761
-0.921527  0.146491  -3.099432
-1.002474  0.079565  -3.437284
-0.902028  0.071593  -3.092876
-0.440756  0.026407  -1.511264
-0.850471  0.019367  -3.162195
-0.788804  -0.036904  -2.996123
-0.758981  -0.071299  -3.012713
-0.766927  -0.087352  -2.977194
-0.395464  -0.073192  -1.578649
-0.389093  -0.103125  -1.626922
-0.596322  -0.185395  -2.684496
-0.506250  -0.173955  -2.468159
-0.438769  -0.156168  -2.215788
-0.288862  -0.117844  -1.547441
-0.254625  -0.131334  -1.500905
-0.215354  -0.137279  -1.313349
-0.202846  -0.124999  -1.341522
-0.198327  -0.114772  -1.311634
-0.188938  -0.109339  -1.249544
-0.180908  -0.094666  -1.243084
-0.179247  -0.085061  -1.231670
-0.276657  -0.095213  -1.829672
-0.250548  -0.048617  -1.657001
-0.182195  -0.041799  -1.193745
-0.208909  -0.088704  -1.368780
-0.279071  -0.056263  -1.917597
-0.522581  -0.160237  -3.456088
-0.197898  0.000799  -1.775110
-0.410239  0.058357  -3.339791
-0.198181  0.041148  -1.777641
-0.118598  0.025945  -1.120853
-0.080018  0.036310  -1.052583
-0.079478  0.049414  -1.045485
-0.067418  0.049271  -1.042471
-0.061454  0.049232  -1.041638
-0.053388  0.066125  -1.028598
-0.029745  0.071251  -1.018430
-0.012345  0.070889  -1.013253
-0.000839  0.081783  -1.005819
0.040017  0.086363  -0.992857
0.039629  0.103659  -0.983241
0.062918  0.097424  -0.976666
0.073412  0.107644  -0.968886
0.074844  0.104139  -0.987788
-0.031665  0.023512  -1.345619
0.099898  0.088248  -1.014530
0.134425  0.085220  -1.048086
0.192922  0.086172  -1.231709
0.215064  0.075042  -1.280309
0.226460  0.063185  -1.336857
0.245426  0.033537  -1.448820
0.288004  0.033709  -1.456261
0.361626  0.017445  -1.478542
0.384579  -0.007477  -1.431263
0.346801  -0.034354  -1.451605
0.316831  -0.035534  -1.211098
0.357005  -0.051109  -1.459649
0.251166  -0.062219  -0.960091
0.263194  -0.080091  -1.051692
0.300061  -0.119320  -1.029734
0.316884  -0.127995  -0.952933
0.312297  -0.160861  -0.955442
0.329424  -0.193006  -0.974020
0.313940  -0.199229  -0.977438
0.328954  -0.216187  -0.972632
0.348644  -0.251562  -0.981451
0.351948  -0.259567  -0.990751
0.313095  -0.261157  -0.996820
0.313057  -0.262539  -0.996697
0.312345  -0.260531  -0.994430
0.304925  -0.259022  -0.988670
0.262693  -0.250587  -0.977647
0.243236  -0.243609  -0.971943
