x	y	z
-0.518900  0.325593  -1.095352
-0.519520  0.319752  -1.096659
-0.517668  0.324820  -1.092751
-0.512655  0.319356  -1.095302
-0.501780  0.308835  -1.102166
-0.488891  0.296091  -1.101341
-0.487848  0.289216  -1.098991
-0.479742  0.281878  -1.094739
-0.477049  0.278750  -1.088596
-0.482425  0.272111  -1.086776
-0.478046  0.266939  -1.090870
-0.481267  0.262499  -1.098220
-0.504526  0.258921  -1.166417
-0.765029  0.392610  -1.768674
-0.714798  0.343175  -1.674538
-0.763287  0.366455  -1.788131
-0.766310  0.365357  -1.795213
-0.793207  0.351186  -1.883287
-0.809167  0.341024  -1.947446
-0.824657  0.342124  -2.019235
-0.825609  0.358997  -2.050083
-0.778700  0.332303  -1.961269
-0.780488  0.326571  -1.994306
-0.794692  0.332514  -2.030599
-0.801466  0.335349  -2.047910
-0.801642  0.340363  -2.078531
-0.820813  0.324323  -2.128237
-0.879002  0.352507  -2.313184
-0.778075  0.309658  -2.110692
-0.805531  0.297236  -2.219372
-0.788449  0.287595  -2.242507
-0.761022  0.266370  -2.173277
-0.891310  0.297514  -2.545344
-0.826719  0.275954  -2.360890
-0.615036  0.208681  -1.785343
-0.404419  0.137219  -1.173959
-0.435819  0.143045  -1.286319
-0.427978  0.140471  -1.263175
-0.392382  0.124293  -1.177862
-0.467228  0.130075  -1.402538
-0.410705  0.116090  -1.232865
-0.403684  0.098616  -1.211788
-0.406452  0.085430  -1.220098
-0.394140  0.084280  -1.203666
-0.330610  0.073236  -1.045943
-0.339864  0.070444  -1.094898
-0.330182  0.069713  -1.083535
-0.335131  0.071089  -1.104926
-0.320284  0.063123  -1.076132
-0.308836  0.050033  -1.057858
-0.302829  0.036512  -1.057865
-0.289198  0.030333  -1.052003
-0.276556  0.024296  -1.049385
-0.264190  0.024256  -1.047626
-0.260180  0.018549  -1.061620
-0.255522  0.018649  -1.067351
-0.247326  0.012478  -1.058227
-0.228342  -0.011520  -1.053848
-0.249866  -0.020795  -1.153183
-0.264316  -0.029706  -1.252717
-0.216228  -0.031838  -1.083128
-0.243724  -0.036143  -1.229613
-0.213641  -0.038921  -1.109642
-0.212901  -0.039965  -1.139419
-0.189075  -0.058030  -1.113460
-0.186811  -0.063585  -1.100126
-0.171058  -0.074664  -1.079590
-0.164183  -0.076566  -1.084816
-0.150523  -0.082002  -1.075283
-0.131312  -0.087520  -1.068078
-0.125218  -0.087501  -1.067853
-0.119638  -0.093949  -1.072207
-0.113968  -0.100411  -1.076188
-0.108712  -0.113534  -1.084747
-0.094524  -0.113147  -1.081048
-0.082373  -0.119478  -1.082769
-0.070096  -0.125675  -1.083165
-0.064050  -0.127427  -1.084981
-0.064093  -0.127511  -1.085697
-0.057912  -0.133648  -1.085455
-0.024874  -0.130166  -1.057171
-0.018836  -0.129943  -1.055364
-0.012792  -0.135419  -1.051330
-0.006801  -0.141015  -1.048532
0.005080  -0.140150  -1.042099
0.024106  -0.150656  -1.032954
0.029886  -0.156063  -1.029913
0.029898  -0.156123  -1.030310
0.035600  -0.161295  -1.025978
0.047020  -0.166285  -1.020830
0.065276  -0.164795  -1.011680
0.070854  -0.164402  -1.009268
0.076218  -0.165035  -1.004402
0.075783  -0.168347  -0.998661
0.086257  -0.168066  -0.988663
0.108798  -0.166038  -0.976737
0.118665  -0.169827  -0.966718
0.123207  -0.168527  -0.959320
0.158165  -0.191906  -0.940359
0.164026  -0.196270  -0.935698
0.163581  -0.195739  -0.933163
0.173314  -0.194762  -0.928505
0.193368  -0.198962  -0.923518
0.204142  -0.199267  -0.918878
0.208616  -0.198557  -0.915604
0.212707  -0.202701  -0.910853
0.236484  -0.206050  -0.902853
0.240612  -0.215412  -0.899115
0.270322  -0.228861  -0.891812
0.274427  -0.228062  -0.888700
0.273833  -0.227569  -0.886779
0.289291  -0.231874  -0.883984
0.313832  -0.232708  -0.882388
0.319097  -0.232893  -0.883087
0.324829  -0.232507  -0.881624
0.334006  -0.235671  -0.879415
