x	y	z
-0.712978  -0.026764  -1.129747
-0.710956  -0.026931  -1.136772
-0.710285  -0.026905  -1.135699
-0.711131  -0.026695  -1.126821
-0.709442  -0.020249  -1.124146
-0.703107  0.000492  -1.114107
-0.699937  0.012968  -1.099194
-0.691362  0.025365  -1.095496
-0.686095  0.031345  -1.087151
-0.675829  0.050638  -1.070883
-0.666040  0.061889  -1.055373
-0.659258  0.067801  -1.054110
-0.650302  0.072129  -1.030434
-0.643018  0.087887  -1.009807
-0.625164  0.105444  -0.999596
-0.620451  0.104649  -0.992060
-0.608556  0.109159  -0.981955
-0.611349  0.109660  -0.986462
-0.601599  0.113684  -0.972959
-0.578020  0.109228  -0.934825
-0.567515  0.134604  -0.917836
-0.563658  0.144041  -0.911597
-0.534571  0.140478  -0.889049
-0.512882  0.150136  -0.886461
-0.504153  0.149044  -0.880011
-0.592206  0.187278  -1.036277
-0.474484  0.170989  -0.864645
-0.478719  0.189544  -0.900309
-0.491033  0.196518  -0.933435
-0.488471  0.226597  -0.995739
-1.208354  0.573828  -2.521582
-0.625468  0.328785  -1.409612
-0.365092  0.212117  -0.867195
-0.328505  0.210172  -0.839751
-0.322282  0.216800  -0.861349
-0.303594  0.223234  -0.867344
-0.284518  0.223725  -0.869249
-0.256849  0.221150  -0.859246
-0.247915  0.222987  -0.866384
-0.670036  0.669046  -2.599481
-0.197835  0.222756  -0.846803
-0.183228  0.217731  -0.845960
-0.175290  0.216472  -0.860043
-0.161840  0.218089  -0.866469
-0.161071  0.261733  -1.016927
-0.140030  0.230797  -0.916956
-0.114368  0.212515  -0.889471
-0.131005  0.295653  -1.237440
-0.277239  0.595936  -2.618732
-0.164552  0.578762  -2.543265
-0.152791  0.544998  -2.588670
-0.034324  0.247364  -1.174943
-0.007690  0.242332  -1.182948
0.020711  0.176974  -0.888533
0.029841  0.165346  -0.860826
0.039867  0.146713  -0.866249
0.091199  0.223499  -1.414468
0.109001  0.227121  -1.437387
0.135506  0.213987  -1.459138
0.105930  0.105795  -0.863485
0.109460  0.104254  -0.892259
0.309907  0.268403  -2.414452
0.337693  0.248495  -2.235373
0.297303  0.182691  -1.830411
0.149609  0.064623  -0.853932
0.181927  0.060853  -0.869349
0.192561  0.052190  -0.889979
0.209353  0.021831  -0.942845
0.231634  0.016164  -0.924925
0.243340  0.010907  -0.924507
0.246980  -0.022230  -0.938337
0.254161  -0.032442  -0.925678
0.248399  -0.048368  -0.928701
0.265997  -0.065619  -0.930307
0.263601  -0.077028  -0.940609
0.287288  -0.109963  -0.948278
0.303114  -0.126433  -0.982110
0.261760  -0.144385  -0.953357
0.296421  -0.164848  -0.978424
0.292479  -0.167159  -0.983851
0.305988  -0.193041  -0.973512
0.279075  -0.199086  -0.976048
0.301938  -0.210654  -0.978297
0.313794  -0.233395  -0.998346
0.317402  -0.252142  -1.005286
0.321287  -0.262184  -1.022186
0.331192  -0.276497  -1.048961
0.326162  -0.296562  -1.056787
0.336587  -0.317320  -1.066047
0.334404  -0.316686  -1.063917
