x	y	z
-0.467575  0.306343  -1.380823
-0.462608  0.300370  -1.389452
-0.468431  0.306904  -1.383351
-0.469387  0.299661  -1.386174
-0.465174  0.294103  -1.397157
-0.470664  0.292585  -1.389947
-0.463781  0.293223  -1.392974
-0.468717  0.283517  -1.384197
-0.467428  0.274900  -1.380389
-0.472883  0.263776  -1.373473
-0.472939  0.240412  -1.373634
-0.466239  0.225346  -1.376880
-0.465101  0.216998  -1.373519
-0.456938  0.216825  -1.372422
-0.456482  0.206879  -1.371051
-0.453513  0.177630  -1.385764
-0.452022  0.169204  -1.381206
-0.455006  0.159659  -1.366619
-0.443948  0.161279  -1.380484
-0.443390  0.153248  -1.378748
-0.446670  0.151704  -1.364854
-0.448246  0.126968  -1.369671
-0.424682  0.108031  -1.427692
-0.423056  0.095444  -1.363666
-0.412075  0.096959  -1.385310
-0.411341  0.088936  -1.382841
-0.401771  0.086867  -1.350670
-0.397489  0.072145  -1.362275
-0.490571  0.068904  -1.714647
-0.851287  0.091215  -3.163756
-0.763860  0.065731  -2.838839
-0.574365  0.050490  -2.180603
-0.581077  0.040292  -2.305465
-0.382414  0.017903  -1.517257
-0.377233  0.009429  -1.540061
-0.709770  -0.053411  -2.966403
-0.601097  -0.049977  -2.775651
-0.566642  -0.065395  -2.761325
-0.578542  -0.085130  -2.899537
-0.527058  -0.078110  -2.660431
-0.598755  -0.109018  -3.111501
-0.315243  -0.067329  -1.921666
-0.250630  -0.064433  -1.582562
-0.261216  -0.095246  -1.649408
-0.187491  -0.083487  -1.183883
-0.183461  -0.092410  -1.212781
-0.161095  -0.098252  -1.200037
-0.139952  -0.132036  -1.138862
-0.120370  -0.118922  -1.137115
-0.113053  -0.132439  -1.128520
-0.078858  -0.137867  -1.120567
-0.073435  -0.139652  -1.135076
-0.050611  -0.160573  -1.247555
-0.036304  -0.152892  -1.242691
-0.022726  -0.156561  -1.272505
-0.014688  -0.162030  -1.205690
-0.000943  -0.159555  -1.139148
0.019208  -0.177414  -1.089942
0.021319  -0.176309  -1.209732
0.035693  -0.186510  -1.231743
0.041575  -0.217247  -1.434739
0.050714  -0.229895  -1.463400
0.090273  -0.227958  -1.400457
0.094885  -0.220209  -1.352857
0.111088  -0.231564  -1.363182
0.119576  -0.233025  -1.371782
0.131992  -0.218070  -1.339712
0.154324  -0.213737  -1.258238
0.149316  -0.205073  -1.217405
0.180038  -0.208196  -1.148831
0.191276  -0.198114  -1.128552
0.198807  -0.218571  -1.134971
0.247530  -0.248022  -1.287899
0.244970  -0.225477  -1.170830
0.243219  -0.204067  -1.162459
0.280657  -0.221929  -1.264213
0.310279  -0.240963  -1.329639
0.369137  -0.285801  -1.441575
0.367071  -0.276064  -1.433509
0.377637  -0.294231  -1.442783
0.403482  -0.307694  -1.508800
0.307808  -0.222953  -1.035607
0.319042  -0.229924  -1.033907
0.329191  -0.249666  -1.042815
0.322138  -0.234872  -1.083823
0.342335  -0.263869  -1.028940
0.344622  -0.265632  -1.035815
