x	y	z
-0.527160  0.350000  -1.367308
-0.477244  0.318617  -1.237841
-0.466924  0.307202  -1.193496
-0.464885  0.312608  -1.188282
-0.458290  0.305963  -1.188680
-0.458707  0.299485  -1.189761
-0.453424  0.287688  -1.176059
-0.605481  0.366329  -1.570451
-0.623585  0.349729  -1.617408
-0.535649  0.296895  -1.410095
-0.494816  0.278425  -1.322370
-0.409882  0.231438  -1.129675
-0.401273  0.222204  -1.123531
-0.400912  0.213499  -1.145281
-0.430536  0.215307  -1.229910
-0.426378  0.199395  -1.218032
-0.406579  0.193271  -1.180622
-0.488116  0.223981  -1.417389
-0.371365  0.173265  -1.096449
-0.371623  0.167155  -1.097210
-0.373737  0.147741  -1.103451
-0.365150  0.140582  -1.096482
-0.351653  0.140166  -1.093235
-0.339715  0.127930  -1.094775
-0.331735  0.121636  -1.094085
-0.330419  0.121154  -1.089743
-0.324873  0.120817  -1.086718
-0.323013  0.114534  -1.085650
-0.312405  0.088823  -1.091666
-0.306858  0.082800  -1.093992
-0.291559  0.077474  -1.106660
-0.286522  0.077813  -1.111497
-0.281530  0.071838  -1.116734
-0.279108  0.071220  -1.107125
-0.270826  0.064832  -1.105396
-0.269691  0.052059  -1.100766
-0.254925  0.057796  -1.091073
-0.714061  0.154387  -2.914493
-0.705213  0.152474  -2.878382
-0.685700  0.115166  -2.865142
-0.608285  0.078915  -2.736453
-0.390470  0.033256  -1.902374
-0.397218  0.022842  -1.935251
-0.412055  0.000896  -2.007535
-0.337347  0.000733  -1.643558
-0.254824  -0.030461  -1.285975
-0.367118  -0.054405  -1.852672
-0.229090  -0.036014  -1.226398
-0.230856  -0.043310  -1.235854
-0.299580  -0.067357  -1.654038
-0.214489  -0.068078  -1.307182
-0.173952  -0.071221  -1.098135
-0.170932  -0.077353  -1.119189
-0.172390  -0.079615  -1.128736
-0.163104  -0.085358  -1.119990
-0.126146  -0.094224  -1.075985
-0.120119  -0.106518  -1.076728
-0.114094  -0.112720  -1.077568
-0.110558  -0.121682  -1.103353
-0.103779  -0.122929  -1.114656
-0.089633  -0.127149  -1.096463
-0.077969  -0.130020  -1.107662
-0.075566  -0.143702  -1.167734
-0.076040  -0.144604  -1.175063
-0.061935  -0.149443  -1.160823
-0.046235  -0.140216  -1.139404
-0.034102  -0.156871  -1.167042
-0.027650  -0.177874  -1.174449
-0.020634  -0.174935  -1.155041
-0.020479  -0.180134  -1.146392
-0.007327  -0.176925  -1.125964
0.025113  -0.176972  -1.077588
0.037409  -0.177246  -1.079259
0.053718  -0.198337  -1.167321
0.065750  -0.190007  -1.118292
0.080219  -0.179741  -1.057868
0.080547  -0.186507  -1.062194
0.098957  -0.199290  -1.134995
0.115418  -0.182049  -1.036806
0.126927  -0.175794  -1.034638
0.132123  -0.180740  -1.029348
0.166293  -0.183972  -1.014931
0.176685  -0.188524  -1.008454
0.192440  -0.181455  -1.001045
0.208069  -0.180221  -0.994237
0.208740  -0.175138  -0.997444
0.214996  -0.174469  -0.993637
0.253722  -0.197684  -0.969140
0.260099  -0.202797  -0.967275
0.259991  -0.197222  -0.966874
0.269122  -0.201328  -0.960272
0.258901  -0.186445  -0.967930
0.263948  -0.196082  -0.961287
0.291147  -0.204465  -0.943297
0.297476  -0.209563  -0.942136
0.318565  0.035255  -1.522232
0.314453  0.026267  -1.502585
0.295763  0.018159  -1.538517
0.338575  -0.241974  -0.922918
0.317149  0.026493  -1.515465
