x	y	z
-173.994247  -149.599991  -991.859741
-180.387680  -149.983185  -994.400330
-173.507706  -149.181641  -989.086121
-165.614716  -147.421799  -977.418152
-165.768311  -147.558517  -978.324646
-156.078201  -149.727768  -954.841675
-138.248749  -150.524475  -959.922424
-104.774483  -143.974426  -918.151550
-99.633179  -149.993591  -921.391785
-88.441376  -146.483459  -934.152100
-52.947315  -146.616364  -900.645935
-42.029152  -146.115005  -897.566162
-18.904028  -143.766785  -883.141296
-8.304719  -148.427856  -879.460571
2.214985  -148.373215  -879.136780
29.634083  -148.748642  -873.621033
40.060867  -148.660019  -873.100525
66.627945  -151.944794  -862.107788
81.849197  -156.626373  -859.501892
107.616501  -151.574081  -860.004456
129.436615  -161.810074  -859.729370
160.932068  -161.165588  -856.305054
200.403839  -174.113190  -844.577454
205.868942  -174.463577  -846.277161
233.257568  -177.259201  -835.594543
242.514725  -176.720978  -833.057373
261.416809  -180.136414  -825.871887
279.213409  -178.879242  -820.108154
280.253876  -173.858688  -819.564636
313.247894  -173.129105  -816.125427
367.154327  -197.556702  -811.198181
391.122955  -197.409714  -810.594666
393.447296  -193.705719  -815.411865
399.672089  -204.148407  -818.170532
415.414063  -214.483536  -820.265503
422.747406  -215.094391  -822.601685
