x	y	z
-0.509287  0.143664  -0.909275
-0.511998  0.142979  -0.904941
-0.504290  0.145198  -0.918986
-0.506333  0.144293  -0.913260
-0.502833  0.144779  -0.916331
-0.501977  0.144532  -0.914772
-0.501055  0.147920  -0.903739
-0.499505  0.145968  -0.891811
-0.491883  0.146716  -0.896377
-0.484963  0.146164  -0.893006
-0.484496  0.159211  -0.854189
-0.456753  0.145657  -0.889910
-0.449578  0.162009  -0.819283
-0.441170  0.168166  -0.820950
-0.429930  0.167419  -0.817305
-0.424406  0.168035  -0.798188
-0.415866  0.170920  -0.790569
-0.390878  0.165135  -0.806156
-0.383459  0.173008  -0.800224
-0.374767  0.191290  -0.782086
-0.358786  0.194291  -0.776333
-0.346808  0.191178  -0.781627
-0.335979  0.190073  -0.777110
-0.333616  0.194213  -0.771645
-0.321003  0.194535  -0.772925
-0.303197  0.195080  -0.775088
-0.296211  0.197755  -0.768383
-0.291235  0.197340  -0.766768
-0.284366  0.195609  -0.760045
-0.274560  0.194776  -0.756809
-0.257260  0.196527  -0.747125
-0.251850  0.195620  -0.743678
-0.245976  0.198510  -0.738719
-0.242114  0.194582  -0.739734
-0.237606  0.190136  -0.738777
-0.222303  0.191983  -0.729853
-0.212445  0.191502  -0.728023
-0.208796  0.191948  -0.729718
-0.195957  0.191548  -0.728199
-0.188591  0.193537  -0.735760
-0.181352  0.194735  -0.740315
-0.182498  0.200616  -0.762673
-0.158965  0.188905  -0.733994
-0.165215  0.207197  -0.805067
-0.168143  0.218423  -0.848690
-0.135546  0.203266  -0.772748
-0.116474  0.193452  -0.735438
-0.120136  0.202487  -0.786770
-0.126655  0.228820  -0.869893
-0.086444  0.185037  -0.703448
-0.090685  0.209265  -0.813103
-0.091833  0.226317  -0.879360
-0.097147  0.255098  -0.969795
-0.086624  0.244811  -0.930688
-0.062095  0.210166  -0.816604
-0.056581  0.225122  -0.874717
-0.056634  0.247017  -0.959791
-0.056873  0.248061  -0.963846
-0.044924  0.255609  -0.971736
-0.026532  0.233879  -0.908745
-0.023845  0.205558  -0.816721
-0.012490  0.175221  -0.700136
-0.008386  0.173546  -0.689532
-0.008379  0.168517  -0.688978
-0.008460  0.162244  -0.695630
-0.000560  0.162081  -0.694929
0.032658  0.236991  -0.941609
0.032470  0.196772  -0.804500
0.040157  0.170744  -0.823916
0.046950  0.166456  -0.788415
0.058295  0.154590  -0.715037
0.066265  0.150189  -0.713419
0.078031  0.145419  -0.709906
0.087020  0.145283  -0.709243
0.094787  0.139826  -0.707104
0.110028  0.126837  -0.701878
0.118377  0.114284  -0.698231
0.122018  0.110027  -0.696384
0.121946  0.109962  -0.695972
0.125638  0.105791  -0.694535
0.137549  0.093029  -0.694941
0.152665  0.086434  -0.705530
0.163162  0.085843  -0.734761
0.179718  0.083549  -0.751658
0.187575  0.083248  -0.748946
0.199386  0.061949  -0.761571
0.206016  0.053619  -0.766125
0.211309  0.049489  -0.769561
0.216837  0.036576  -0.773694
0.216875  0.017908  -0.773830
0.229210  0.013464  -0.770980
0.236611  0.000329  -0.766594
0.240898  -0.013813  -0.766382
0.241870  -0.018156  -0.766017
0.246019  -0.018142  -0.765392
0.242479  -0.026923  -0.767945
0.251169  -0.035640  -0.767851
0.256443  -0.053270  -0.770598
0.252997  -0.054564  -0.773438
0.249521  -0.059173  -0.776288
0.245952  -0.068221  -0.778944
0.249226  -0.090320  -0.778808
0.245914  -0.095850  -0.778825
0.244801  -0.100269  -0.778799
0.246075  -0.126889  -0.779333
0.250293  -0.132310  -0.778688
0.250688  -0.141376  -0.779918
0.251043  -0.154881  -0.781023
0.246357  -0.164322  -0.783751
0.248109  -0.169208  -0.785774
0.247666  -0.184209  -0.787914
0.247686  -0.197647  -0.787979
0.247611  -0.202060  -0.787740
0.247726  -0.206629  -0.788106
0.243705  -0.207014  -0.789575
0.243693  -0.211488  -0.789539
0.244053  -0.212922  -0.790702
0.240003  -0.217811  -0.792155
