x	y	z
-0.358140  0.357589  -1.429098
-0.357850  0.357300  -1.427940
-0.357525  0.356975  -1.426644
-0.360779  0.352052  -1.439630
-0.358598  0.349924  -1.430928
-0.358864  0.347966  -1.456734
-0.357683  0.340929  -1.427275
-0.358553  0.333636  -1.430746
-0.358744  0.325688  -1.431509
-0.358173  0.317057  -1.429230
-0.357018  0.307947  -1.424620
-0.353275  0.304719  -1.409685
-0.351867  0.295534  -1.404066
-0.349133  0.293238  -1.393156
-0.342281  0.286213  -1.397470
-0.339689  0.284045  -1.386888
-0.339072  0.275672  -1.384370
-0.341100  0.259533  -1.392650
-0.340842  0.251437  -1.391597
-0.341175  0.235869  -1.392957
-0.334982  0.229134  -1.400120
-0.332130  0.227183  -1.388200
-0.329322  0.225262  -1.376463
-0.322877  0.218374  -1.382324
-0.305516  0.214873  -1.410858
-0.308155  0.209225  -1.386695
-0.307756  0.201093  -1.384899
-0.305297  0.188710  -1.409848
-0.294876  0.184195  -1.437068
-0.296177  0.168621  -1.443408
-0.286507  0.167756  -1.436005
-0.285259  0.163536  -1.399880
-0.277039  0.163375  -1.398501
-0.277536  0.154607  -1.391044
-0.271988  0.148351  -1.334751
-0.268521  0.150657  -1.355498
-0.263588  0.147889  -1.330597
-0.260826  0.138865  -1.316654
-0.249701  0.133434  -1.337125
-0.241658  0.129674  -1.377822
-0.236071  0.124766  -1.345971
-0.227735  0.105048  -1.388304
-0.219093  0.112538  -1.383500
-0.225098  0.096042  -1.372233
-0.229121  0.094489  -1.350035
-0.219800  0.086175  -1.339930
-0.203694  0.079861  -1.241748
-0.194445  0.078967  -1.227852
-0.183681  0.078095  -1.214295
-0.175425  0.070653  -1.204927
-0.181677  0.070425  -1.201045
-0.174086  0.063326  -1.195737
-0.174077  0.063323  -1.195670
-0.174281  0.056602  -1.197070
-0.167430  0.056583  -1.196672
-0.167429  0.041299  -1.196668
-0.154176  0.034580  -1.199260
-0.154107  0.034565  -1.198721
-0.153861  0.027716  -1.196803
-0.153537  0.027657  -1.194282
-0.146910  0.027686  -1.195525
-0.139806  0.020852  -1.192814
-0.140354  0.014137  -1.197497
-0.145486  0.014653  -1.241276
-0.135349  0.014326  -1.213567
-0.168010  0.027747  -1.587190
-0.155685  0.017362  -1.470760
-0.148111  0.008692  -1.418221
-0.176549  0.010801  -1.762374
-0.155593  0.000702  -1.553179
-0.173560  -0.019158  -1.757430
-0.137734  -0.026630  -1.479723
-0.145857  -0.048978  -1.668755
-0.113543  -0.035344  -1.492969
-0.098084  -0.037853  -1.289709
-0.089467  -0.037312  -1.271294
-0.084344  -0.038262  -1.303653
-0.084383  -0.045683  -1.304248
-0.073981  -0.072365  -1.253445
-0.075623  -0.066698  -1.281273
-0.052225  -0.067006  -1.287180
-0.037777  -0.083527  -1.604559
-0.007955  -0.063578  -1.221329
-0.001018  -0.049471  -1.215412
-0.001023  -0.042797  -1.221852
0.014233  -0.035001  -1.192528
0.032882  -0.033319  -1.135234
0.038970  -0.033018  -1.124968
0.039066  -0.026697  -1.127734
0.045250  -0.026569  -1.122334
0.051304  -0.020074  -1.115436
0.057175  -0.019914  -1.106526
0.070538  -0.019699  -1.094585
0.070734  -0.005735  -1.097625
0.076808  0.000495  -1.095388
0.082629  0.012869  -1.090147
0.082320  0.012821  -1.086075
0.082245  0.018969  -1.085076
0.082402  0.019005  -1.087148
0.082603  0.025238  -1.089810
0.088137  0.025052  -1.081795
0.088050  0.025028  -1.080728
0.088353  0.031270  -1.084448
0.093953  0.043326  -1.078074
0.099711  0.056889  -1.074178
0.105538  0.056743  -1.071425
0.108885  0.064817  -1.105408
0.113342  0.069970  -1.087953
0.118967  0.073442  -1.141949
0.132105  0.076353  -1.187201
0.144482  0.086466  -1.235405
0.149749  0.096886  -1.280438
0.143912  0.110451  -1.173571
0.148782  0.134174  -1.272171
0.137915  0.125001  -1.124665
0.126030  0.114228  -1.027743
0.131883  0.119533  -1.075471
0.154541  0.140710  -1.204491
0.139131  0.127207  -1.038441
