x	y	z
-0.484757  0.156375  -1.276736
-0.484207  0.156197  -1.275286
-0.483787  0.156062  -1.274179
-0.483324  0.155912  -1.272962
-0.477639  0.151467  -1.296757
-0.478875  0.149555  -1.280383
-0.468268  0.148495  -1.271315
-0.457710  0.142486  -1.282164
-0.438542  0.139287  -1.253378
-0.430100  0.136605  -1.229250
-0.420374  0.128786  -1.221261
-0.417173  0.112329  -1.211962
-0.411073  0.084976  -1.214264
-0.438786  0.084769  -1.318223
-0.418609  0.077709  -1.325402
-0.360984  0.068238  -1.163866
-0.336974  0.066434  -1.133106
-0.330991  0.038408  -1.112989
-0.322365  0.025592  -1.105073
-0.311740  0.031425  -1.089853
-0.314372  0.019214  -1.099056
-0.275260  0.000487  -1.068305
-0.270738  0.006625  -1.080504
-0.369801  -0.036583  -1.545890
-0.398503  -0.033110  -1.840549
-0.403184  -0.009719  -1.862166
-0.238483  -0.020911  -1.162413
-0.223757  -0.020178  -1.121665
-0.311403  -0.048933  -1.667784
-0.195968  -0.044949  -1.283662
-0.165311  -0.054791  -1.181691
-0.099401  -0.064319  -0.992378
-0.063284  -0.068953  -0.978230
-0.057960  -0.074800  -0.982095
-0.017440  -0.079870  -0.975943
-0.006472  -0.092525  -0.992861
0.017240  -0.107946  -0.979401
0.033771  -0.114405  -0.975225
0.040385  -0.123231  -1.001988
0.063120  -0.131616  -0.979739
0.086278  -0.138647  -0.990245
0.113391  -0.146791  -0.969785
0.119293  -0.152805  -0.973030
0.130607  -0.160037  -0.975038
0.163421  -0.165177  -0.972718
0.167720  -0.173722  -0.989949
0.179497  -0.179881  -0.992936
0.205406  -0.194638  -0.982092
0.249425  -0.211922  -0.953276
0.236136  -0.209116  -0.965301
0.244595  -0.217849  -0.955544
0.239718  -0.218346  -0.957725
0.254114  -0.232902  -0.950578
0.254734  -0.238878  -0.952896
0.257330  -0.245473  -0.957524
0.280660  -0.252339  -0.962990
0.276748  -0.253764  -0.968426
0.278314  -0.256581  -0.973904
