x	y	z
-0.667033  0.279679  -0.935781
-0.665451  0.279016  -0.933560
-0.664839  0.277434  -0.932703
-0.663741  0.276975  -0.931162
-0.661680  0.276115  -0.928270
-0.659979  0.275406  -0.925884
-0.655424  0.275704  -0.926886
-0.652575  0.271441  -0.930336
-0.647544  0.271549  -0.930707
-0.647551  0.274599  -0.923174
-0.635168  0.273786  -0.920440
-0.632244  0.272526  -0.916202
-0.627334  0.279732  -0.901659
-0.625515  0.276066  -0.906451
-0.612840  0.273720  -0.902960
-0.610626  0.268895  -0.899698
-0.600999  0.274724  -0.885513
-0.600743  0.266777  -0.892612
-0.581645  0.277948  -0.864236
-0.584263  0.267215  -0.877389
-0.580371  0.261475  -0.879050
-0.571943  0.259915  -0.873807
-0.559380  0.258700  -0.869721
-0.554152  0.261180  -0.861592
-0.541578  0.275597  -0.842042
-0.493910  0.266795  -0.774777
-0.530251  0.272239  -0.831783
-0.522956  0.259125  -0.835236
-0.469777  0.249836  -0.750302
-0.441615  0.242878  -0.705323
-0.435632  0.245774  -0.702142
-0.434536  0.245156  -0.700375
-0.431342  0.248865  -0.696824
-0.413480  0.238787  -0.693441
-0.399013  0.242111  -0.688881
-0.395679  0.241488  -0.689896
-0.396210  0.238476  -0.692538
-0.393760  0.234839  -0.693424
-0.421819  0.238905  -0.742836
-0.382145  0.231622  -0.695601
-0.397595  0.235191  -0.731291
-0.397825  0.240354  -0.747342
-0.395747  0.237407  -0.751463
-0.396057  0.237594  -0.752053
-0.393566  0.234381  -0.755478
-0.373013  0.231323  -0.759538
-0.362103  0.234169  -0.754796
-0.358143  0.234386  -0.755495
-0.345488  0.230962  -0.758354
-0.331010  0.234180  -0.754831
-0.326259  0.233851  -0.753768
-0.317650  0.233822  -0.753677
-0.300940  0.230686  -0.757447
-0.291404  0.234249  -0.755054
-0.283396  0.230425  -0.756591
-0.278445  0.229889  -0.754830
-0.255819  0.230230  -0.742097
-0.247376  0.230224  -0.742080
-0.237478  0.228816  -0.737542
-0.228566  0.228291  -0.735848
-0.212871  0.226061  -0.728661
-0.188806  0.226185  -0.715943
-0.180390  0.225839  -0.714846
-0.159885  0.227018  -0.718577
-0.143824  0.224965  -0.725128
-0.113108  0.229434  -0.713389
-0.096522  0.230988  -0.718222
-0.077624  0.231429  -0.732541
-0.045095  0.258558  -0.763462
-0.008862  0.250779  -0.728268
-1.247076  0.723532  -1.420900
0.026481  0.226796  -0.762463
0.057955  0.218316  -0.763123
0.074966  0.200052  -0.759662
0.089035  0.195808  -0.759953
0.097974  0.196407  -0.762277
0.102769  0.192940  -0.765714
0.120045  0.191636  -0.764852
0.128811  0.191739  -0.765266
0.131010  0.175830  -0.771815
0.144595  0.167544  -0.774077
0.167953  0.164472  -0.780376
0.178309  0.159914  -0.802014
0.189865  0.137746  -0.812445
0.211839  0.132429  -0.808178
0.222419  0.132573  -0.809059
0.232292  0.123734  -0.811417
0.246924  0.113721  -0.814033
0.254247  0.110262  -0.822756
0.262071  0.097401  -0.832757
0.288027  0.096188  -0.822387
0.296219  0.091157  -0.819186
0.296614  0.077289  -0.820278
0.313930  0.066269  -0.813793
0.330924  0.056757  -0.810094
0.323435  0.052431  -0.814427
0.316696  0.028350  -0.820961
0.327221  0.019086  -0.823961
0.336107  0.014382  -0.822781
0.330435  0.000349  -0.820312
0.327607  -0.019304  -0.813293
0.313137  -0.019267  -0.811736
0.335623  -0.033052  -0.810321
0.312133  -0.053339  -0.821236
0.292773  -0.058103  -0.822586
0.286864  -0.067166  -0.819067
0.325260  -0.082309  -0.830916
0.334549  -0.091712  -0.830526
0.339268  -0.097613  -0.830519
0.335094  -0.102502  -0.831879
0.376770  -0.112757  -0.837796
0.381867  -0.140189  -0.860001
0.405062  -0.146394  -0.867799
0.390260  -0.147626  -0.867794
0.396972  -0.158201  -0.871700
0.427932  -0.178018  -0.871677
0.404492  -0.184146  -0.877262
0.400382  -0.190797  -0.879187
0.402258  -0.196713  -0.883307
0.393447  -0.207405  -0.886082
0.400376  -0.213450  -0.890288
0.433544  -0.232166  -0.904045
0.451640  -0.242793  -0.919969
0.464894  -0.260685  -0.946968
0.438236  -0.258456  -0.938871
0.475707  -0.290921  -0.957901
0.437904  -0.277641  -0.949727
