x	y	z
-67.690353  -155.748840  -956.745605
-67.623322  -155.594620  -955.798218
-74.414948  -157.874802  -969.805054
-67.390717  -155.059418  -952.510498
-67.475945  -155.255524  -953.715210
-54.693871  -152.843918  -930.355225
-49.483730  -159.551727  -937.069031
-44.201885  -159.314636  -943.966614
-19.302734  -153.541077  -901.767700
-8.592855  -154.938309  -909.973816
-3.146790  -154.776108  -909.021179
7.637095  -152.968369  -898.404053
29.975752  -150.463654  -883.693542
35.238907  -150.367966  -883.131531
45.596806  -154.948318  -879.149292
71.994713  -157.561478  -864.633362
82.069839  -157.048615  -861.818909
92.504150  -157.260818  -862.983398
113.313072  -160.821136  -854.474854
119.348320  -156.925812  -861.145020
139.965012  -172.394989  -861.230225
161.443466  -171.953812  -859.026184
187.064240  -172.295502  -835.760437
202.360168  -176.465591  -831.853455
203.170776  -177.172455  -835.185608
204.232559  -178.098373  -839.550354
204.854584  -178.640823  -842.107422
238.067368  -177.460007  -813.601318
238.213913  -172.699890  -814.102112
238.270264  -172.740753  -814.294678
234.126740  -168.393112  -816.830933
277.759308  -175.317596  -798.306213
274.081970  -170.029877  -801.515747
278.915497  -170.053940  -801.629150
301.730408  -174.179764  -798.562378
339.364960  -183.966782  -794.417480
353.909790  -198.384155  -795.069031
378.118927  -207.479645  -793.480042
385.361908  -208.832809  -798.655029
393.758484  -210.770325  -806.064819
424.783234  -213.643723  -817.053772
434.228577  -213.482147  -816.435852
434.238220  -215.915054  -825.740173
441.106812  -216.863739  -829.368286
