x	y	z
-0.487739  0.273540  -1.265653
-0.487340  0.273316  -1.264618
-0.485834  0.279627  -1.260709
-0.478902  0.279758  -1.261298
-0.477228  0.278780  -1.256889
-0.474720  0.284412  -1.250286
-0.467556  0.284371  -1.250105
-0.459406  0.283719  -1.247241
-0.451777  0.290445  -1.245726
-0.448972  0.295669  -1.237992
-0.443974  0.284037  -1.248638
-0.440093  0.286121  -1.257801
-0.433451  0.281803  -1.238817
-0.429215  0.279049  -1.226711
-0.423567  0.279918  -1.230531
-0.420987  0.278213  -1.223036
-0.418314  0.276447  -1.215272
-0.415346  0.267636  -1.206647
-0.413553  0.266481  -1.201439
-0.407269  0.273660  -1.203019
-0.403661  0.271236  -1.192364
-0.399994  0.268772  -1.181532
-0.398226  0.260907  -1.176310
-0.390609  0.260280  -1.173483
-0.383669  0.255656  -1.152635
-0.380014  0.251021  -1.161459
-0.374679  0.253997  -1.145153
-0.371601  0.251910  -1.135746
-0.362376  0.269185  -1.127102
-0.351147  0.270391  -1.132151
-0.347852  0.274220  -1.121529
-0.341439  0.269071  -1.126624
-0.338272  0.266575  -1.116172
-0.332706  0.265924  -1.113448
-0.330170  0.258855  -1.110234
-0.325615  0.261498  -1.094916
-0.319052  0.261213  -1.093722
-0.317686  0.260094  -1.089038
-0.314375  0.257384  -1.077690
-0.311365  0.260978  -1.067370
-0.306592  0.262943  -1.051009
-0.300576  0.259245  -1.030386
-0.294555  0.254053  -1.009746
-0.288802  0.254033  -1.009668
-0.277728  0.254388  -1.011080
-0.267646  0.255722  -1.016381
-0.261003  0.253431  -1.012988
-0.255043  0.249049  -0.989858
-0.252217  0.251837  -1.000939
-0.234722  0.241013  -0.936785
-0.228106  0.238267  -0.926112
-0.221562  0.232773  -0.904759
-0.217492  0.228497  -0.888138
-0.218026  0.229058  -0.890318
-0.209856  0.225706  -0.877288
-0.189593  0.225296  -0.875696
-0.179097  0.229554  -0.872988
-0.171821  0.236273  -0.861353
-0.526244  0.713748  -2.657009
-0.506566  0.728832  -2.713162
-0.441475  0.723112  -2.691870
-0.429786  0.744611  -2.714545
-0.419024  0.737379  -2.744978
-0.418237  0.727203  -2.765531
-0.378266  0.741154  -2.818585
-0.329032  0.722432  -2.808001
-0.311117  0.749546  -2.790272
-0.093967  0.268024  -0.938276
-0.070658  0.237225  -0.864823
-0.057923  0.235198  -0.823362
-0.053659  0.222877  -0.829687
-0.049975  0.232354  -0.847067
-0.043399  0.224618  -0.836166
-0.019063  0.222296  -0.810399
-0.010938  0.251622  -0.898714
-0.005434  0.229505  -0.836682
0.007573  0.317296  -1.206666
0.026469  0.240169  -0.913357
0.038677  0.246724  -0.958984
0.052215  0.203824  -0.810109
0.065408  0.201967  -0.802728
0.069911  0.201814  -0.802122
0.088071  0.198001  -0.791430
0.093425  0.186243  -0.798802
0.098498  0.173592  -0.803198
0.111688  0.172837  -0.799708
0.134452  0.166974  -0.793415
0.151587  0.166012  -0.788843
0.165353  0.157375  -0.790440
0.172316  0.143925  -0.796704
0.178288  0.135987  -0.803238
0.205211  0.134126  -0.819725
0.186656  0.120389  -0.863003
0.223412  0.125150  -0.853714
0.248090  0.121200  -0.834848
0.228697  0.101519  -0.869200
0.229582  0.097485  -0.877292
0.244038  0.096800  -0.871127
0.224248  0.083014  -0.895766
0.277570  0.094333  -0.848922
0.261149  0.067771  -0.895902
0.324208  0.072491  -0.958291
0.326628  0.067552  -0.965443
0.320201  0.057935  -0.901093
0.330971  0.060384  -1.030128
0.371867  0.054532  -1.030036
0.400913  0.043919  -1.093302
0.280426  -0.005242  -1.001018
0.267256  -0.017535  -0.973736
0.250512  -0.021617  -0.912728
0.269804  -0.021503  -0.907916
0.307237  -0.026662  -0.908128
0.327573  -0.027958  -0.952261
0.325968  -0.029270  -0.996944
0.384199  -0.062257  -1.195797
0.378000  -0.059162  -1.136353
0.291027  -0.060053  -0.926258
0.272646  -0.067327  -0.883723
0.311525  -0.090229  -0.862896
0.337393  -0.104676  -0.850932
0.347072  -0.104681  -0.850980
0.350639  -0.120397  -0.859726
0.366122  -0.142138  -0.873379
0.378528  -0.148827  -0.876279
0.386273  -0.165644  -0.860295
0.378825  -0.169380  -0.854510
0.394975  -0.184679  -0.857985
0.407055  -0.191294  -0.860358
0.402739  -0.197052  -0.864195
0.409911  -0.218196  -0.890430
0.405378  -0.218477  -0.891575
0.452090  -0.250423  -0.955543
0.451110  -0.257417  -0.956342
0.414460  -0.238893  -0.911550
