x	y	z
-0.558327  0.019119  -1.621101
-0.556130  0.019044  -1.614722
-0.556757  0.028246  -1.616542
-0.556661  0.027783  -1.590042
-0.561741  0.027479  -1.572664
-0.559120  0.036386  -1.571574
-0.564765  0.036034  -1.556383
-0.557242  0.036264  -1.566295
-0.584667  0.052329  -1.516302
-0.554326  0.080916  -1.527617
-0.569810  0.095061  -1.477771
-0.542410  0.103032  -1.471741
-0.537190  0.124949  -1.435459
-0.527995  0.140840  -1.410890
-0.511644  0.154350  -1.388265
-0.502374  0.153925  -1.384445
-0.493477  0.153603  -1.381549
-0.485378  0.158800  -1.358877
-0.477178  0.189911  -1.294747
-0.458265  0.195469  -1.282970
-0.444338  0.200580  -1.269204
-0.438468  0.201195  -1.273091
-0.435532  0.207029  -1.264567
-0.431102  0.208359  -1.272691
-0.398599  0.219382  -1.176736
-0.383372  0.234212  -1.151082
-0.344449  0.230047  -1.130612
-0.334368  0.230237  -1.123706
-0.326964  0.229520  -1.120205
-0.289992  0.231756  -1.100613
-0.275887  0.230417  -1.094253
-0.236732  0.248425  -1.064887
-0.219304  0.231035  -1.068372
-0.420726  0.460243  -2.185699
-0.547118  0.707634  -3.453712
-0.495380  0.709337  -3.368652
-0.206477  0.370847  -1.761159
-0.101966  0.214279  -1.017614
-0.293037  0.705819  -3.351943
-0.196060  0.570730  -2.785534
-0.062952  0.218518  -1.066511
-0.042962  0.216980  -1.059006
-0.050093  0.189629  -1.083134
-0.031231  0.187187  -1.069189
0.005194  0.205051  -1.067348
0.031126  0.187887  -1.073187
0.038842  0.183353  -1.119946
0.060597  0.191813  -1.171624
0.100433  0.209236  -1.323971
0.123697  0.180771  -1.186498
0.125006  0.130889  -1.068127
0.149754  0.129681  -1.166387
0.149729  0.106176  -0.954980
0.158479  0.102021  -0.967000
0.157731  0.070404  -0.930204
0.170488  0.062581  -0.972850
0.173314  0.056181  -0.957931
0.182978  0.032841  -0.951606
0.198276  0.021931  -0.947229
0.260678  0.014206  -1.204494
0.265749  0.000538  -1.236038
0.159587  -0.006242  -1.190321
0.145950  0.000578  -1.327624
0.142853  0.028620  -1.637921
0.137084  -0.031370  -1.067701
0.172963  0.010144  -1.659056
0.180616  -0.038445  -1.622008
0.228699  -0.102499  -0.979612
0.223780  -0.120929  -0.982443
0.232111  -0.124986  -0.970616
0.272607  -0.155223  -0.953195
0.317095  -0.190029  -0.986336
0.305767  -0.207701  -0.990468
0.311213  -0.220231  -0.989898
0.316586  -0.262879  -1.002460
